Batch,Photoperiod,Time,Genotype,Starch,Maltose,Sucrose,Fructose,Glucose,Fumarate,Malate
1,LD,0.041666667,pwd,49.69365087,0.132854409,1.886943381,1.560101828,1.065823728,1.857224515,1.023678861
1,LD,0.041666667,pwd,40.10814198,0.07507463,1.659623385,1.475182298,1.028759611,1.335609683,0.795515721
1,LD,0.041666667,pwd,39.6624783,0.127142896,1.967395703,1.635469303,1.081037438,1.689615075,1.152756249
1,LD,0.041666667,pwd,46.73046785,0.038484233,1.275850057,1.281367919,0.863221742,1.547675504,0.830066087
1,LD,0.083333333,pwd,50.02759179,0.059059081,1.773595815,2.962643762,1.922792822,2.447817031,1.683826721
1,LD,0.083333333,pwd,45.33372348,0.021956103,1.40758494,2.091262238,1.463993243,1.795187611,0.81999496
1,LD,0.083333333,pwd,47.42157519,0.027752228,1.499771791,1.748301645,1.375434831,1.775734834,0.843081107
1,LD,0.083333333,pwd,44.64233137,0.038170148,1.671609497,2.942117308,1.817969663,1.679436096,0.870438009
1,LD,0.083333333,pwd,44.2371888,0.02872484,1.51334587,2.741138194,1.718891265,1.894414974,0.94017178
1,LD,0.166666667,pwd,37.50677965,0.054222594,1.466257245,1.483842565,1.310924505,2.005048039,1.292100226
1,LD,0.166666667,pwd,43.7747075,0.068429012,1.528928032,1.616081589,1.415397817,1.892489184,1.201343449
1,LD,0.166666667,pwd,38.7718206,0.076830188,1.6995415,2.232970039,1.747454803,2.151306504,1.342968607
1,LD,0.166666667,pwd,42.92510034,0.025571827,1.24753083,0.869111599,1.106588498,1.777297261,1.056063707
1,LD,0.166666667,pwd,42.29601526,0.053019945,1.736401434,1.908577499,1.76664316,2.375677335,1.166327328
1,LD,0.333333333,pwd,47.87078131,0.025538444,1.257195773,0.598061807,0.987698911,2.144033928,1.779269022
1,LD,0.333333333,pwd,46.16687013,0.022492982,1.143093882,0.38894408,0.7161328,1.967106413,1.734080775
1,LD,0.333333333,pwd,41.47691,0.008948609,1.046513398,0.254156721,0.588258671,1.516712281,1.285955486
1,LD,0.333333333,pwd,50.54317159,0.010175984,1.15974959,0.304241775,0.804921822,1.49947873,1.092443803
1,LD,0.333333333,pwd,44.7325596,0.013587835,1.009188017,0.548705484,0.725281005,1.738332743,1.319806447
1,LD,0.5,pwd,46.73069383,0.011756865,1.075668313,0.163259195,0.300469908,1.785475852,1.538084573
1,LD,0.5,pwd,54.08109603,0.028210862,1.427413547,0.301500003,0.591678749,2.657831177,2.422801934
1,LD,0.5,pwd,52.03345795,0.022575868,1.242491822,0.285615821,0.502770774,2.364939209,1.893549177
1,LD,0.5,pwd,53.41125532,0.029497325,1.353543387,0.426323192,0.550615143,2.124243921,1.782012246
1,LD,0.5,pwd,52.84826093,0.018958661,1.295376942,0.299312259,0.489388094,2.380336401,1.943439619
1,LD,0.625,pwd,56.29777069,0.076150478,1.574116012,0.419062892,0.471638608,2.485099282,2.484325124
1,LD,0.625,pwd,54.66437309,0.069010535,1.595759722,0.702909499,0.827686051,2.591181063,2.192997138
1,LD,0.625,pwd,59.58085952,0.037044961,1.369956373,0.27262867,0.44579631,2.204723091,1.640798003
1,LD,0.625,pwd,56.36534167,0.078117303,1.527194548,0.77329881,0.775059061,2.561789749,2.289240805
1,LD,0.625,pwd,50.34782934,0.04495764,1.304797921,0.347311085,0.512749958,2.479363922,2.004225815
1,LD,0.666666667,pwd,55.48749805,0.095650567,1.784267608,0.811404566,0.969761418,2.667821481,2.31513367
1,LD,0.666666667,pwd,53.26318736,0.060448112,1.642508476,0.475676592,0.617882313,2.666490383,2.686688193
1,LD,0.666666667,pwd,57.71308254,0.033545076,1.392763562,0.273870905,0.40405946,2.463939139,2.097808092
1,LD,0.666666667,pwd,51.70856294,0.080002831,1.528651402,0.608224199,0.695919073,2.351954571,2.427139637
1,LD,0.666666667,pwd,57.48942264,0.033535702,1.049839707,0.237404126,0.33272081,1.611074527,1.26581252
1,LD,0.833333333,pwd,47.51893183,0.066317295,0.969100401,0.144870473,0.29302272,2.119808622,1.501334269
1,LD,0.833333333,pwd,47.89644257,0.071779211,0.918207208,0.260823021,0.429561124,1.667809717,1.22064762
1,LD,0.833333333,pwd,43.43923549,0.106660375,1.075314559,0.524622852,0.560468151,1.628733446,1.274837886
1,LD,0.833333333,pwd,45.64843811,0.100118835,1.27287186,0.891040108,0.587551746,2.323272689,1.210479907
1,LD,0.833333333,pwd,44.20703045,0.063016152,0.746439208,0.204022403,0.303169556,1.56767214,0.852667191
1,LD,0.958333333,pwd,45.63000851,0.07268982,0.968947358,0.161966941,0.384065211,2.161308397,1.221028559
1,LD,0.958333333,pwd,45.80703072,0.043124348,0.759705914,0.128465688,0.271682993,1.429820565,0.692443491
